模型,類型,遞延期,Water_Var,變數,角色,係數,穩健SE,t值,p值,顯著性,N,公司數,adj_R2
模型3 廢棄物密集度 L0(當期),廢棄物主分析,0,Waste_Intensity,Lev_D_dREV,控制交乘,0.0012535812891832248,0.0009309740440099361,1.3465265731617386,0.17813275643886262,,3273,1659,0.3567658335957864
模型3 廢棄物密集度 L0(當期),廢棄物主分析,0,Waste_Intensity,Decrease_D_dREV,控制交乘,0.046471600976882035,0.036678022663266745,1.2670148934561736,0.20514996455081214,,3273,1659,0.3567658335957864
模型3 廢棄物密集度 L1(t-1),廢棄物主分析,1,WasteInt_l1,dLNREV,β1,0.3138592480163232,0.03316584312168403,9.463327884196621,2.982952526785234e-21,***,1653,1653,0.285219493979995
模型3 廢棄物密集度 L1(t-1),廢棄物主分析,1,WasteInt_l1,D_x_dREV,β2(黏性),-0.41666489538698454,0.5068454611825267,-0.8220748281238607,0.41103431072919117,,1653,1653,0.285219493979995
模型3 廢棄物密集度 L1(t-1),廢棄物主分析,1,WasteInt_l1,WasteInt_D_dREV_l1,β3(三重交乘),-0.0012997330177014176,0.017689447758200895,-0.07347504769326993,0.9414280994506021,,1653,1653,0.285219493979995
模型3 廢棄物密集度 L1(t-1),廢棄物主分析,1,WasteInt_l1,WasteInt_l1,β4(水主效果),-0.002286143123823624,0.003032553185771638,-0.7538674456065348,0.4509288201209636,,1653,1653,0.285219493979995
模型3 廢棄物密集度 L1(t-1),廢棄物主分析,1,WasteInt_l1,Size_D_dREV,控制交乘,0.02489962286486997,0.03288589156485356,0.7571521305957589,0.4489587252723488,,1653,1653,0.285219493979995
模型3 廢棄物密集度 L1(t-1),廢棄物主分析,1,WasteInt_l1,AI_D_dREV,控制交乘,0.0031118810618791506,0.0036398115152502294,0.8549566505960173,0.3925751466403815,,1653,1653,0.285219493979995
模型3 廢棄物密集度 L1(t-1),廢棄物主分析,1,WasteInt_l1,EI_D_dREV,控制交乘,-118.26543552540582,146.31923707178817,-0.8082699027974128,0.4189352245538507,,1653,1653,0.285219493979995
模型3 廢棄物密集度 L1(t-1),廢棄物主分析,1,WasteInt_l1,ROA_D_dREV,控制交乘,0.011212528473727132,0.012143491459695665,0.9233364647178774,0.35583189061671716,,1653,1653,0.285219493979995
模型3 廢棄物密集度 L1(t-1),廢棄物主分析,1,WasteInt_l1,Lev_D_dREV,控制交乘,0.001410223357989414,0.0015850735838144779,0.8896895212875311,0.3736326221434395,,1653,1653,0.285219493979995
模型3 廢棄物密集度 L1(t-1),廢棄物主分析,1,WasteInt_l1,Decrease_D_dREV,控制交乘,-0.003797528580344705,0.06975073030593448,-0.054444284148543264,0.9565811975043446,,1653,1653,0.285219493979995
模型4 廢棄物揭露 L0(當期),廢棄物次分析,0,Waste_Disc,dLNREV,β1,0.34347652663823275,0.01387855569798235,24.74872271386042,3.200023947822542e-135,***,13875,1734,0.3248563361228579
模型4 廢棄物揭露 L0(當期),廢棄物次分析,0,Waste_Disc,D_x_dREV,β2(黏性),-0.1685378595194446,0.1470066858257368,-1.1464639079016519,0.2516032527418226,,13875,1734,0.3248563361228579
模型4 廢棄物揭露 L0(當期),廢棄物次分析,0,Waste_Disc,WasteDisc_D_dREV,β3(三重交乘),0.004251726670633531,0.010149283823031895,0.4189188857823678,0.6752754142140276,,13875,1734,0.3248563361228579
模型4 廢棄物揭露 L0(當期),廢棄物次分析,0,Waste_Disc,Waste_Disc,β4(水主效果),0.0017842812603159413,0.001173545473201434,1.5204193625735005,0.12840561113487045,,13875,1734,0.3248563361228579
模型4 廢棄物揭露 L0(當期),廢棄物次分析,0,Waste_Disc,Size_D_dREV,控制交乘,0.00999139108905313,0.00992365546388789,1.0068256727988723,0.3140185551604263,,13875,1734,0.3248563361228579
模型4 廢棄物揭露 L0(當期),廢棄物次分析,0,Waste_Disc,AI_D_dREV,控制交乘,-0.005436729150139711,0.0010289226648469744,-5.283904549763498,1.2645915784440526e-07,***,13875,1734,0.3248563361228579
模型4 廢棄物揭露 L0(當期),廢棄物次分析,0,Waste_Disc,EI_D_dREV,控制交乘,23.600249335838747,42.30435784554767,0.5578680433349861,0.5769344947007482,,13875,1734,0.3248563361228579
模型4 廢棄物揭露 L0(當期),廢棄物次分析,0,Waste_Disc,ROA_D_dREV,控制交乘,0.014423324893162111,0.0032681497612178276,4.413299862913098,1.018068316445087e-05,***,13875,1734,0.3248563361228579
模型4 廢棄物揭露 L0(當期),廢棄物次分析,0,Waste_Disc,Lev_D_dREV,控制交乘,0.0004871375206884396,0.0005151285722918086,0.945662009236186,0.3443210054875384,,13875,1734,0.3248563361228579
模型4 廢棄物揭露 L0(當期),廢棄物次分析,0,Waste_Disc,Decrease_D_dREV,控制交乘,0.06748290579192083,0.01940444282792708,3.477703863508965,0.000505728314767991,***,13875,1734,0.3248563361228579
模型4 廢棄物揭露 L1(t-1),廢棄物次分析,1,WasteDisc_l1,dLNREV,β1,0.3432348189833318,0.013969477655689533,24.570340240569987,2.62223385087996e-133,***,12437,1720,0.33279161597336815
